Method, ExecutionOrder, GlobalWorkSize, GroupWorkSize, KernelTime, LocalMem, MemTransferSize, ALU, Fetch, Write, Wavefront, ALUBusy, ALUFetchRatio, ALUPacking, FetchUnitBusy, FetchUnitStalled, WriteUnitStalled, ALUStalledByLDS, LDSBankConflict
BufHostToDevice, 1, , , , , 50035968, , , , , , , , , , , , 
BufHostToDevice, 2, , , , , 324, , , , , , , , , , , , 
BufHostToDevice, 3, , , , , 617604, , , , , , , , , , , , 
diagSpMV, 4, {38656; 1; 1}, {128; 1; 1}, 18.93973, 0,, 2340.03, 650.40, 5.09, 604.00, 3.52, 3.60, 71.99, 100.00, 100.00, 0.00, 0.61, 0.00
diagSpMV, 5, {38656; 1; 1}, {128; 1; 1}, 19.17261, 0,, 2340.03, 650.40, 5.09, 604.00, 3.50, 3.60, 71.99, 100.00, 100.00, 0.00, 0.61, 0.00
diagSpMV, 6, {38656; 1; 1}, {128; 1; 1}, 18.99838, 0,, 2340.03, 650.40, 5.09, 604.00, 3.50, 3.60, 71.99, 100.00, 100.00, 0.00, 0.61, 0.00
diagSpMV, 7, {38656; 1; 1}, {128; 1; 1}, 18.96210, 0,, 2340.03, 650.40, 5.09, 604.00, 3.52, 3.60, 71.99, 100.00, 100.00, 0.00, 0.61, 0.00
diagSpMV, 8, {38656; 1; 1}, {128; 1; 1}, 18.95959, 0,, 2340.03, 650.40, 5.09, 604.00, 3.49, 3.60, 71.99, 100.00, 100.00, 0.00, 0.60, 0.00
diagSpMV, 9, {38656; 1; 1}, {128; 1; 1}, 18.99262, 0,, 2340.03, 650.40, 5.09, 604.00, 3.50, 3.60, 71.99, 100.00, 100.00, 0.00, 0.61, 0.00
diagSpMV, 10, {38656; 1; 1}, {128; 1; 1}, 18.92310, 0,, 2340.03, 650.40, 5.09, 604.00, 3.52, 3.60, 71.99, 100.00, 100.00, 0.00, 0.61, 0.00
diagSpMV, 11, {38656; 1; 1}, {128; 1; 1}, 18.92267, 0,, 2340.03, 650.40, 5.09, 604.00, 3.52, 3.60, 71.99, 100.00, 100.00, 0.00, 0.61, 0.00
diagSpMV, 12, {38656; 1; 1}, {128; 1; 1}, 18.94328, 0,, 2340.03, 650.40, 5.09, 604.00, 3.51, 3.60, 71.99, 100.00, 100.00, 0.00, 0.61, 0.00
diagSpMV, 13, {38656; 1; 1}, {128; 1; 1}, 19.07076, 0,, 2340.03, 650.40, 5.09, 604.00, 3.51, 3.60, 71.99, 100.00, 100.00, 0.00, 0.61, 0.00
BufDeviceToHost, 14, , , , , 617604, , , , , , , , , , , , 
